,Company_name,Rating,Reviews,Intrviews,Total_jobs,About
0,TCS,3.8,67.8k,5.7k,474,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +308 more
1,Accenture,4.0,43.2k,4k,5.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +156 more
2,Cognizant,3.9,38.9k,3.4k,564,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +131 more
3,Wipro,3.8,36k,3.4k,346,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +261 more
4,ICICI Bank,4.0,31.3k,1.8k,217,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1229 more
5,HDFC Bank,3.9,31.1k,1.4k,471,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1466 more
6,Infosys,3.9,29.6k,4.5k,544,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +153 more
7,Capgemini,3.8,27.5k,2.3k,561,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +106 more
8,Tech Mahindra,3.7,25.7k,2.3k,1.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +246 more
9,HCLTech,3.7,25.2k,2.3k,627,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +162 more
10,Genpact,3.9,24.6k,1.8k,661,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +91 more
11,Axis Bank,3.8,20.6k,1k,320,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1247 more
12,Concentrix Corporation,3.9,20.3k,1k,113,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +98 more
13,Amazon,4.1,19.5k,3.2k,680,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +413 more
14,Reliance Jio,3.9,18.8k,1.1k,165,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1111 more
15,IBM,4.1,18.7k,1.4k,1.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +140 more
16,Larsen & Toubro Limited,4.0,17.5k,997,229,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +601 more
17,Reliance Retail,3.9,17k,1.1k,256,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +935 more
18,HDB Financial Services,4.0,16.5k,538,100,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +910 more
19,Teleperformance,3.6,16.1k,1.1k,272,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +144 more
20,Vodafone Idea,4.2,14.7k,413,350,5k-10k Employees | Public | 5 years old | Mumbai +614 more
21,BYJU'S,3.1,13.7k,1.8k,890,EdTech | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +295 more
22,Deloitte,4.0,13.6k,1.5k,301,Accounting & Auditing | 1 Lakh+ Employees | 178 years old | London +152 more
23,Kotak Mahindra Bank,3.8,13.2k,686,223,Banking | 50k-1 Lakh Employees | Public | 20 years old | Mumbai +537 more
24,Reliance Industries,4.0,12.4k,887,35,Oil & Gas | Public | 46 years old | Navi Mumbai +614 more
25,Bharti Airtel,4.0,11.4k,543,291,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +619 more
26,Tata Motors,4.2,10.5k,699,18,Automobile | 10k-50k Employees | Public | 78 years old | Pune +436 more
27,iEnergizer,4.5,9.4k,285,96,BPO | 10k-50k Employees | 23 years old | Noida +24 more
28,Flipkart,4.1,9.2k,964,416,Internet | 10k-50k Employees | Public | 16 years old | Bangalore +512 more
29,WNS,3.5,9k,691,232,BPO | 10k-50k Employees | 27 years old | Mumbai +33 more
30,IndusInd Bank,3.7,8.5k,390,251,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +646 more
31,Mahindra & Mahindra,4.1,8.4k,447,94,Automobile | 1 Lakh+ Employees | Public | 78 years old | Mumbai +465 more
32,Ernst & Young,3.6,8.3k,733,1.8k,Accounting & Auditing | 50k-1 Lakh Employees | 21 years old | London +94 more
33,Infosys BPM,3.9,7.8k,640,53,BPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +60 more
34,DXC Technology,3.8,7.7k,539,142,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +64 more
35,IDFC FIRST Bank,4.0,7.4k,397,98,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +521 more
36,AU Small Finance Bank,4.5,7.2k,275,159,Banking | 10k-50k Employees | Fortune India 500 | 27 years old | Jaipur +379 more
37,Conneqt Business Solutions,3.7,7.2k,293,46,IT Services & Consulting | 10k-50k Employees | 21 years old | Mumbai +194 more
38,HDFC Life,4.0,7.1k,338,106,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +519 more
39,LTIMindtree,3.7,6.9k,865,35,IT Services & Consulting | 50k-1 Lakh Employees | Public | 24 years old | Bangalore/Bengaluru +45 more
40,Bajaj Finserv,4.0,6.7k,318,49,Insurance | 10k-50k Employees | Public | 16 years old | Pune +816 more
41,Samsung,4.1,6.5k,331,257,Consumer Electronics & Appliances | 5k-10k Employees | Public | 85 years old | Seoul +489 more
42,HSBC Group,4.1,6.5k,343,28,Banking | 10k-50k Employees | Forbes Global 2000 | 21 years old | Pune +55 more
43,Hinduja Global Solutions,3.9,6.5k,164,23,Software Product | 10k-50k Employees | Public | 23 years old | Bangalore/Bengaluru +88 more
44,Mphasis,3.5,6.5k,455,76,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +43 more
45,PwC,3.6,6.5k,743,543,Accounting & Auditing | 10k-50k Employees | Conglomerate | 143 years old | London +84 more
46,Startek,3.2,6.4k,303,48,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +65 more
47,Ericsson,4.3,6.3k,256,91,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +141 more
48,Maruti Suzuki,4.2,6.1k,419,35,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +344 more
49,Yes Bank,3.9,5.9k,281,30,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +422 more
50,Asian Paints,4.1,5.9k,432,100,Chemicals | 5k-10k Employees | Public | 81 years old | Mumbai +388 more
51,Cipla Pharmaceutical,4.1,5.7k,334,43,Pharma | 10k-50k Employees | Public | 88 years old | Mumbai +220 more
52,Dr. Reddy's,4.1,5.7k,255,147,Pharma | 10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +152 more
53,Sutherland Global Services,3.8,5.6k,343,191,IT Services & Consulting | 10k-50k Employees | 37 years old | Pittsford +49 more
54,UltraTech Cement,4.2,5.5k,344,16,Building Material | 10k-50k Employees | Public | 40 years old | Mumbai +415 more
55,NTT DATA,4.0,5.5k,401,107,IT Services & Consulting | 10k-50k Employees | 35 years old | Chiyoda City +46 more
56,EXL Service,3.8,5.4k,414,227,Analytics & KPO | 10k-50k Employees | 24 years old | New York City +42 more
57,ICICI Prudential Life Insurance,4.1,5.3k,267,229,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +434 more
58,Bandhan Bank,3.8,5.3k,340,25,Banking | 50k-1 Lakh Employees | Public | 22 years old | Kolkata +698 more
59,Jana Small Finance Bank,3.8,5.3k,166,174,Banking | 10k-50k Employees | Public | 17 years old | Bangalore/Bengaluru +333 more
60,Paytm,3.4,5.3k,394,617,FinTech | 10k-50k Employees | Public | 13 years old | Noida +289 more
61,HCL Group,3.7,5.1k,265,2,IT Services & Consulting | 1 Lakh+ Employees | 47 years old | Chennai +70 more
62,Lupin,4.1,5.1k,233,9,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +157 more
63,Indian Army,4.7,5.1k,111,--,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +311 more
64,Bajaj Finance,4.0,5k,210,147,NBFC | 10k-50k Employees | 36 years old | Pune +725 more
65,TATA Steel,4.1,5k,425,34,Iron & Steel | 1 Lakh+ Employees | Public | 116 years old | Mumbai +155 more
66,Udaan,4.0,5k,288,304,Internet | 1k-5k Employees | Indian Unicorn | 7 years old | Bangalore +329 more
67,L&T Infotech,3.8,4.9k,389,138,IT Services & Consulting | 10k-50k Employees | Public | 27 years old | Mumbai +74 more
68,ITC,3.9,4.9k,378,85,FMCG | 10k-50k Employees | Public | 48 years old | Kolkata +285 more
69,Zydus Lifesciences,4.1,4.9k,198,40,Pharma | 10k-50k Employees | Public | 71 years old | Ahmedabad +139 more
70,Wells Fargo,4.1,4.8k,304,111,Banking | 10k-50k Employees | Public | 171 years old | San Francisco +19 more
71,JP Morgan Chase,4.2,4.7k,385,1.1k,Financial Services | 50k-1 Lakh Employees | Forbes Global 2000 | 23 years old | New York +32 more
72,Delhivery,4.0,4.7k,285,412,10k-50k Employees | Fortune India 500 | 12 years old | Delhi +582 more
73,FIS,3.9,4.7k,289,82,FinTech | 10k-50k Employees | 55 years old | Jacksonville +38 more
74,Hindustan Unilever,4.2,4.6k,229,198,FMCG | 10k-50k Employees | Public | 151 years old | London +403 more
75,Quess,4.0,4.6k,255,239,Recruitment | 1 Lakh+ Employees | Public | 16 years old | Bangalore +475 more
76,Amazon Development Centre India,4.2,4.6k,348,28,Internet | 10k-50k Employees | Hyderabad/Secunderabad +61 more
77,IIFL Finance,3.9,4.6k,209,127,NBFC | 10k-50k Employees | Public | 28 years old | Mumbai +630 more
78,Hexaware Technologies,3.7,4.4k,366,350,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 33 years old | Mumbai +39 more
79,Sun Pharmaceutical Industries,4.1,4.3k,229,99,Pharma | 10k-50k Employees | Public | 40 years old | Mumbai +185 more
80,Home Credit Finance,4.1,4.2k,93,81,Financial Services | 10k-50k Employees | 11 years old | Gurugram +108 more
81,JSW Steel,3.9,4.2k,336,69,Iron & Steel | 10k-50k Employees | Public | 41 years old | Mumbai +122 more
82,Ujjivan Small Finance Bank,4.1,4.2k,146,89,Banking | 10k-50k Employees | Public | 6 years old | Bangalore/Bengaluru +415 more
83,Max Life Insurance,4.1,4.1k,187,373,Insurance | 10k-50k Employees | 23 years old | Gurgaon/Gurugram +363 more
84,Shapoorji Pallonji Group,4.2,4.1k,227,32,Engineering & Construction | 5k-10k Employees | Conglomerate | 158 years old | Mumbai +153 more
85,KPMG India,3.6,4.1k,484,407,Management Consulting | 10k-50k Employees | 36 years old | Bengaluru/Bangalore +74 more
86,Oracle,3.9,4.1k,499,198,Software Product | 50k-1 Lakh Employees | Public | 46 years old | Austin +40 more
87,OPPO,3.9,4.1k,162,11,Consumer Electronics & Appliances | 10k-50k Employees | Public | 19 years old | Dongguan +355 more
88,Aurobindo Pharma,4.0,4.1k,165,6,Pharma | 10k-50k Employees | Public | 37 years old | Hyderabad/Secunderabad +77 more
89,Muthoot Finance,3.5,4.1k,156,395,NBFC | 10k-50k Employees | Public | 84 years old | Kochi/Cochin +593 more
90,eClerx,3.4,4k,297,140,IT Services & Consulting | 10k-50k Employees | Public | 23 years old | Mumbai +17 more
91,Ashok Leyland,4.1,4k,150,2,Automobile | 10k-50k Employees | Public | 75 years old | Chennai +199 more
92,Capgemini Technology Services India Limited,4.0,4k,349,2,IT Services & Consulting | 1 Lakh+ Employees | Bengaluru/Bangalore +35 more
93,Shriram Transport Finance,4.1,4k,148,1,NBFC | 10k-50k Employees | Public | 44 years old | Mumbai +756 more
94,Tata Projects,4.2,4k,257,32,Engineering & Construction | 5k-10k Employees | Public | 44 years old | Mumbai +230 more
95,Siemens,4.2,4k,238,1.3k,Power | 5k-10k Employees | Public | 176 years old | Munich +120 more
96,Apollo Hospitals,4.1,4k,192,61,Healthcare | 10k-50k Employees | Public | 40 years old | Chennai +173 more
97,JLL,4.2,3.9k,199,32,Real Estate | 10k-50k Employees | Forbes Global 2000 | 26 years old | Mumbai +67 more
98,Vivo,4.0,3.9k,141,4,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 14 years old | Gurgaon/Gurugram +361 more
99,L&T Construction,4.0,3.9k,421,--,Engineering & Construction | 10k-50k Employees | Public | 79 years old | Chennai +322 more
100,First Source,3.8,3.8k,174,100,BPO | 10k-50k Employees | Public | 22 years old | Mumbai +51 more
101,Omega Healthcare,3.8,3.8k,210,84,Healthcare | 10k-50k Employees | 20 years old | Florida +37 more
102,JustDial,3.5,3.8k,220,109,Internet | 10k-50k Employees | Public | 27 years old | Mumbai +164 more
103,Hero MotoCorp,4.1,3.8k,242,7,Automobile | 5k-10k Employees | Public | 39 years old | Gurgaon/Gurugram +299 more
104,Hewlett-Packard Enterprise,4.3,3.8k,171,64,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 8 years old | Houston +94 more
105,Megha Engineering & Infrastructures,4.0,3.7k,273,15,Engineering & Construction | 5k-10k Employees | Conglomerate | 34 years old | Hyderabad/Secunderabad +271 more
106,Mahindra & Mahindra Financial Services,4.3,3.7k,89,61,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +621 more
107,Bajaj Allianz Life Insurance,4.1,3.6k,192,32,Insurance | 10k-50k Employees | 22 years old | Pune +475 more
108,Cyient,3.7,3.6k,169,285,IT Services & Consulting | 10k-50k Employees | Public | 32 years old | Hyderabad/Secunderabad +31 more
109,ICICI Lombard General Insurance Company,3.8,3.6k,156,139,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +248 more
110,D Mart,3.9,3.5k,230,80,Retail | 10k-50k Employees | Fortune India 500 | 23 years old | Mumbai +201 more
111,Indiamart Intermesh,3.6,3.5k,351,871,Internet | 1k-5k Employees | 27 years old | Noida +130 more
112,BigBasket,4.0,3.5k,240,74,Internet | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +103 more
113,Hyundai Motor,4.3,3.5k,179,17,Automobile | 10k-50k Employees | Fortune India 500 | 56 years old | Seoul +259 more
114,TVS Motor,4.0,3.4k,191,19,Automobile | 5k-10k Employees | Public | 44 years old | Chennai +257 more
115,Reliance Communications,3.9,3.4k,60,2,Telecom | 201-500 Employees | Public | 21 years old | Navi Mumbai +407 more
116,Atos Syntel,3.5,3.4k,177,43,IT Services & Consulting | 5k-10k Employees | 43 years old | Troy +21 more
117,UST,3.9,3.4k,258,119,IT Services & Consulting | 10k-50k Employees | 22 years old | Aliso Viejo +34 more
118,IQVIA,4.1,3.4k,264,37,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 41 years old | Durham +41 more
119,GlobalLogic,3.8,3.4k,299,81,IT Services & Consulting | 10k-50k Employees | 23 years old | San Jose +31 more
120,Manappuram Finance,3.9,3.3k,96,6,NBFC | 10k-50k Employees | Public | 74 years old | Thrissur/Trichur +459 more
121,Bosch,4.3,3.3k,202,10,Auto Components | 10k-50k Employees | Public | 137 years old | Gerlingen +92 more
122,Bosch Global Software Technologies,4.2,3.3k,196,22,Software Product | 10k-50k Employees | 33 years old | Gerlingen +27 more
123,Coforge,3.5,3.3k,254,180,IT Services & Consulting | 10k-50k Employees | Public | 19 years old | Noida +81 more
124,SBI Cards & Payment Services,3.7,3.3k,161,139,1k-5k Employees | 25 years old | Gurgaon/Gurugram +307 more
125,Oyo Rooms,3.4,3.3k,158,171,Hospitality | 1k-5k Employees | Indian Unicorn | 10 years old | Gurgaon +111 more
126,Virtusa Consulting Services,3.8,3.3k,278,110,IT Services & Consulting | 10k-50k Employees | 27 years old | Southborough +31 more
127,Cummins,4.4,3.3k,173,49,Auto Components | 5k-10k Employees | Fortune India 500 | 61 years old | Columbus +95 more
128,Nagarro,4.2,3.3k,411,70,IT Services & Consulting | 10k-50k Employees | 27 years old | Munich +35 more
129,BT Group,4.1,3.3k,90,36,Telecom | 10k-50k Employees | Forbes Global 2000 | 177 years old | London +17 more
130,BNY Mellon,4.1,3.3k,185,449,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 19 years old | New York City +14 more
131,SMFG India Credit,4.1,3.2k,88,53,NBFC | 10k-50k Employees | 16 years old | Mumbai +467 more
132,Amdocs,4.0,3.2k,323,8,Software Product | 10k-50k Employees | Forbes Global 2000 | 41 years old | Chesterfield +14 more
133,Schneider Electric,4.1,3.2k,196,153,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 24 years old | Paris +102 more
134,CBRE,4.2,3.2k,145,127,Real Estate | 10k-50k Employees | Forbes Global 2000 | 117 years old | Los Angeles +64 more
135,Future Group,4.2,3.2k,65,16,Retail | 10k-50k Employees | Conglomerate | 10 years old | Mumbai +199 more
136,Cholamandalam Investment & Finance,4.1,3.1k,100,20,NBFC | 5k-10k Employees | Fortune India 500 | 45 years old | Chennai +590 more
137,Intelenet Global Services,3.7,3.1k,33,--,BPO | 10k-50k Employees | 23 years old | Mumbai +57 more
138,L&T Technology Services,3.4,3.1k,247,2,IT Services & Consulting | 10k-50k Employees | Public | 11 years old | Vadodara/Baroda +39 more
139,State Bank of India,3.7,3.1k,148,187,Banking | 1 Lakh+ Employees | Fortune India 500 | 217 years old | Mumbai +451 more
